timestamp,open,high,low,close,volume,close time,quote asset volume,number of trades,taker buy base asset volume,taker buy quote asset volume,ignore
2023-02-20 13:00:00,1706.99000000,1711.58000000,1703.31000000,1705.82000000,13563.10700000,1676901599999,23155542.31271400,28455,7414.21790000,12657739.30430400,0
2023-02-20 14:00:00,1705.83000000,1715.17000000,1696.97000000,1711.98000000,30067.37230000,1676905199999,51325200.59065400,50380,16433.40930000,28053735.80503100,0
2023-02-20 15:00:00,1711.99000000,1715.71000000,1704.36000000,1707.23000000,17630.98720000,1676908799999,30139798.52315800,32798,9063.66920000,15494535.28286200,0
2023-02-20 16:00:00,1707.24000000,1708.17000000,1684.32000000,1700.60000000,31490.45090000,1676912399999,53433204.42809500,52707,14435.99610000,24495546.47970500,0
2023-02-20 17:00:00,1700.61000000,1702.66000000,1694.51000000,1696.37000000,13287.90920000,1676915999999,22568484.36498900,26016,6578.40710000,11172664.87720300,0
2023-02-20 18:00:00,1696.37000000,1699.93000000,1690.62000000,1697.40000000,13690.29870000,1676919599999,23204592.97492700,25003,6813.71970000,11550129.96149000,0
2023-02-20 19:00:00,1697.40000000,1711.22000000,1697.03000000,1709.76000000,19544.65140000,1676923199999,33274071.59567500,30886,12627.48620000,21496426.69157200,0
2023-02-20 20:00:00,1709.77000000,1711.99000000,1701.21000000,1703.77000000,10969.54500000,1676926799999,18716519.18514500,22849,5154.53140000,8794631.66338200,0
2023-02-20 21:00:00,1703.76000000,1707.25000000,1700.58000000,1701.09000000,8231.81180000,1676930399999,14028139.55356300,24308,3207.58660000,5465602.60338300,0
2023-02-20 22:00:00,1701.09000000,1703.48000000,1692.02000000,1692.92000000,10356.53020000,1676933999999,17578649.51144100,21795,4325.96440000,7344508.83587000,0
2023-02-20 23:00:00,1692.93000000,1703.66000000,1691.77000000,1703.27000000,7760.27830000,1676937599999,13182256.93183100,18208,3992.38980000,6782792.68915500,0
2023-02-21 00:00:00,1703.27000000,1711.06000000,1698.06000000,1705.12000000,17585.47280000,1676941199999,30000930.06404600,30001,8773.93090000,14964508.66172200,0
2023-02-21 01:00:00,1705.12000000,1708.62000000,1700.00000000,1705.20000000,12163.30700000,1676944799999,20727953.06510500,21460,5403.01460000,9208969.26817700,0
2023-02-21 02:00:00,1705.20000000,1716.66000000,1704.60000000,1708.08000000,22835.38820000,1676948399999,39072059.21791500,34047,13976.26960000,23912213.08134600,0
2023-02-21 03:00:00,1708.08000000,1708.50000000,1699.33000000,1707.42000000,11036.02600000,1676951999999,18802809.71649000,15447,5232.64160000,8918409.81536000,0
2023-02-20 13:00:00,1706.99000000,1711.58000000,1703.31000000,1705.82000000,13563.10700000,1676901599999,23155542.31271400,28455,7414.21790000,12657739.30430400,0
2023-02-20 14:00:00,1705.83000000,1715.17000000,1696.97000000,1711.98000000,30067.37230000,1676905199999,51325200.59065400,50380,16433.40930000,28053735.80503100,0
2023-02-20 15:00:00,1711.99000000,1715.71000000,1704.36000000,1707.23000000,17630.98720000,1676908799999,30139798.52315800,32798,9063.66920000,15494535.28286200,0
2023-02-20 16:00:00,1707.24000000,1708.17000000,1684.32000000,1700.60000000,31490.45090000,1676912399999,53433204.42809500,52707,14435.99610000,24495546.47970500,0
2023-02-20 17:00:00,1700.61000000,1702.66000000,1694.51000000,1696.37000000,13287.90920000,1676915999999,22568484.36498900,26016,6578.40710000,11172664.87720300,0
2023-02-20 18:00:00,1696.37000000,1699.93000000,1690.62000000,1697.40000000,13690.29870000,1676919599999,23204592.97492700,25003,6813.71970000,11550129.96149000,0
2023-02-20 19:00:00,1697.40000000,1711.22000000,1697.03000000,1709.76000000,19544.65140000,1676923199999,33274071.59567500,30886,12627.48620000,21496426.69157200,0
2023-02-20 20:00:00,1709.77000000,1711.99000000,1701.21000000,1703.77000000,10969.54500000,1676926799999,18716519.18514500,22849,5154.53140000,8794631.66338200,0
2023-02-20 21:00:00,1703.76000000,1707.25000000,1700.58000000,1701.09000000,8231.81180000,1676930399999,14028139.55356300,24308,3207.58660000,5465602.60338300,0
2023-02-20 22:00:00,1701.09000000,1703.48000000,1692.02000000,1692.92000000,10356.53020000,1676933999999,17578649.51144100,21795,4325.96440000,7344508.83587000,0
2023-02-20 23:00:00,1692.93000000,1703.66000000,1691.77000000,1703.27000000,7760.27830000,1676937599999,13182256.93183100,18208,3992.38980000,6782792.68915500,0
2023-02-21 00:00:00,1703.27000000,1711.06000000,1698.06000000,1705.12000000,17585.47280000,1676941199999,30000930.06404600,30001,8773.93090000,14964508.66172200,0
2023-02-21 01:00:00,1705.12000000,1708.62000000,1700.00000000,1705.20000000,12163.30700000,1676944799999,20727953.06510500,21460,5403.01460000,9208969.26817700,0
2023-02-21 02:00:00,1705.20000000,1716.66000000,1704.60000000,1708.08000000,22835.38820000,1676948399999,39072059.21791500,34047,13976.26960000,23912213.08134600,0
2023-02-21 03:00:00,1708.08000000,1708.50000000,1699.33000000,1707.42000000,11036.02600000,1676951999999,18802809.71649000,15447,5232.64160000,8918409.81536000,0
2023-02-20 13:00:00,1706.99000000,1711.58000000,1703.31000000,1705.82000000,13563.10700000,1676901599999,23155542.31271400,28455,7414.21790000,12657739.30430400,0
2023-02-20 14:00:00,1705.83000000,1715.17000000,1696.97000000,1711.98000000,30067.37230000,1676905199999,51325200.59065400,50380,16433.40930000,28053735.80503100,0
2023-02-20 15:00:00,1711.99000000,1715.71000000,1704.36000000,1707.23000000,17630.98720000,1676908799999,30139798.52315800,32798,9063.66920000,15494535.28286200,0
2023-02-20 16:00:00,1707.24000000,1708.17000000,1684.32000000,1700.60000000,31490.45090000,1676912399999,53433204.42809500,52707,14435.99610000,24495546.47970500,0
2023-02-20 17:00:00,1700.61000000,1702.66000000,1694.51000000,1696.37000000,13287.90920000,1676915999999,22568484.36498900,26016,6578.40710000,11172664.87720300,0
2023-02-20 18:00:00,1696.37000000,1699.93000000,1690.62000000,1697.40000000,13690.29870000,1676919599999,23204592.97492700,25003,6813.71970000,11550129.96149000,0
2023-02-20 19:00:00,1697.40000000,1711.22000000,1697.03000000,1709.76000000,19544.65140000,1676923199999,33274071.59567500,30886,12627.48620000,21496426.69157200,0
2023-02-20 20:00:00,1709.77000000,1711.99000000,1701.21000000,1703.77000000,10969.54500000,1676926799999,18716519.18514500,22849,5154.53140000,8794631.66338200,0
2023-02-20 21:00:00,1703.76000000,1707.25000000,1700.58000000,1701.09000000,8231.81180000,1676930399999,14028139.55356300,24308,3207.58660000,5465602.60338300,0
2023-02-20 22:00:00,1701.09000000,1703.48000000,1692.02000000,1692.92000000,10356.53020000,1676933999999,17578649.51144100,21795,4325.96440000,7344508.83587000,0
2023-02-20 23:00:00,1692.93000000,1703.66000000,1691.77000000,1703.27000000,7760.27830000,1676937599999,13182256.93183100,18208,3992.38980000,6782792.68915500,0
2023-02-21 00:00:00,1703.27000000,1711.06000000,1698.06000000,1705.12000000,17585.47280000,1676941199999,30000930.06404600,30001,8773.93090000,14964508.66172200,0
2023-02-21 01:00:00,1705.12000000,1708.62000000,1700.00000000,1705.20000000,12163.30700000,1676944799999,20727953.06510500,21460,5403.01460000,9208969.26817700,0
2023-02-21 02:00:00,1705.20000000,1716.66000000,1704.60000000,1708.08000000,22835.38820000,1676948399999,39072059.21791500,34047,13976.26960000,23912213.08134600,0
2023-02-21 03:00:00,1708.08000000,1708.50000000,1699.33000000,1707.42000000,11036.02600000,1676951999999,18802809.71649000,15447,5232.64160000,8918409.81536000,0
2023-02-20 13:00:00,1706.99000000,1711.58000000,1703.31000000,1705.82000000,13563.10700000,1676901599999,23155542.31271400,28455,7414.21790000,12657739.30430400,0
2023-02-20 14:00:00,1705.83000000,1715.17000000,1696.97000000,1711.98000000,30067.37230000,1676905199999,51325200.59065400,50380,16433.40930000,28053735.80503100,0
2023-02-20 15:00:00,1711.99000000,1715.71000000,1704.36000000,1707.23000000,17630.98720000,1676908799999,30139798.52315800,32798,9063.66920000,15494535.28286200,0
2023-02-20 16:00:00,1707.24000000,1708.17000000,1684.32000000,1700.60000000,31490.45090000,1676912399999,53433204.42809500,52707,14435.99610000,24495546.47970500,0
2023-02-20 17:00:00,1700.61000000,1702.66000000,1694.51000000,1696.37000000,13287.90920000,1676915999999,22568484.36498900,26016,6578.40710000,11172664.87720300,0
2023-02-20 18:00:00,1696.37000000,1699.93000000,1690.62000000,1697.40000000,13690.29870000,1676919599999,23204592.97492700,25003,6813.71970000,11550129.96149000,0
2023-02-20 19:00:00,1697.40000000,1711.22000000,1697.03000000,1709.76000000,19544.65140000,1676923199999,33274071.59567500,30886,12627.48620000,21496426.69157200,0
2023-02-20 20:00:00,1709.77000000,1711.99000000,1701.21000000,1703.77000000,10969.54500000,1676926799999,18716519.18514500,22849,5154.53140000,8794631.66338200,0
2023-02-20 21:00:00,1703.76000000,1707.25000000,1700.58000000,1701.09000000,8231.81180000,1676930399999,14028139.55356300,24308,3207.58660000,5465602.60338300,0
2023-02-20 22:00:00,1701.09000000,1703.48000000,1692.02000000,1692.92000000,10356.53020000,1676933999999,17578649.51144100,21795,4325.96440000,7344508.83587000,0
2023-02-20 23:00:00,1692.93000000,1703.66000000,1691.77000000,1703.27000000,7760.27830000,1676937599999,13182256.93183100,18208,3992.38980000,6782792.68915500,0
2023-02-21 00:00:00,1703.27000000,1711.06000000,1698.06000000,1705.12000000,17585.47280000,1676941199999,30000930.06404600,30001,8773.93090000,14964508.66172200,0
2023-02-21 01:00:00,1705.12000000,1708.62000000,1700.00000000,1705.20000000,12163.30700000,1676944799999,20727953.06510500,21460,5403.01460000,9208969.26817700,0
2023-02-21 02:00:00,1705.20000000,1716.66000000,1704.60000000,1708.08000000,22835.38820000,1676948399999,39072059.21791500,34047,13976.26960000,23912213.08134600,0
2023-02-21 03:00:00,1708.08000000,1708.50000000,1699.33000000,1707.42000000,11036.02600000,1676951999999,18802809.71649000,15447,5232.64160000,8918409.81536000,0
2023-02-20 13:00:00,1706.99000000,1711.58000000,1703.31000000,1705.82000000,13563.10700000,1676901599999,23155542.31271400,28455,7414.21790000,12657739.30430400,0
2023-02-20 14:00:00,1705.83000000,1715.17000000,1696.97000000,1711.98000000,30067.37230000,1676905199999,51325200.59065400,50380,16433.40930000,28053735.80503100,0
2023-02-20 15:00:00,1711.99000000,1715.71000000,1704.36000000,1707.23000000,17630.98720000,1676908799999,30139798.52315800,32798,9063.66920000,15494535.28286200,0
2023-02-20 16:00:00,1707.24000000,1708.17000000,1684.32000000,1700.60000000,31490.45090000,1676912399999,53433204.42809500,52707,14435.99610000,24495546.47970500,0
2023-02-20 17:00:00,1700.61000000,1702.66000000,1694.51000000,1696.37000000,13287.90920000,1676915999999,22568484.36498900,26016,6578.40710000,11172664.87720300,0
2023-02-20 18:00:00,1696.37000000,1699.93000000,1690.62000000,1697.40000000,13690.29870000,1676919599999,23204592.97492700,25003,6813.71970000,11550129.96149000,0
2023-02-20 19:00:00,1697.40000000,1711.22000000,1697.03000000,1709.76000000,19544.65140000,1676923199999,33274071.59567500,30886,12627.48620000,21496426.69157200,0
2023-02-20 20:00:00,1709.77000000,1711.99000000,1701.21000000,1703.77000000,10969.54500000,1676926799999,18716519.18514500,22849,5154.53140000,8794631.66338200,0
2023-02-20 21:00:00,1703.76000000,1707.25000000,1700.58000000,1701.09000000,8231.81180000,1676930399999,14028139.55356300,24308,3207.58660000,5465602.60338300,0
2023-02-20 22:00:00,1701.09000000,1703.48000000,1692.02000000,1692.92000000,10356.53020000,1676933999999,17578649.51144100,21795,4325.96440000,7344508.83587000,0
2023-02-20 23:00:00,1692.93000000,1703.66000000,1691.77000000,1703.27000000,7760.27830000,1676937599999,13182256.93183100,18208,3992.38980000,6782792.68915500,0
2023-02-21 00:00:00,1703.27000000,1711.06000000,1698.06000000,1705.12000000,17585.47280000,1676941199999,30000930.06404600,30001,8773.93090000,14964508.66172200,0
2023-02-21 01:00:00,1705.12000000,1708.62000000,1700.00000000,1705.20000000,12163.30700000,1676944799999,20727953.06510500,21460,5403.01460000,9208969.26817700,0
2023-02-21 02:00:00,1705.20000000,1716.66000000,1704.60000000,1708.08000000,22835.38820000,1676948399999,39072059.21791500,34047,13976.26960000,23912213.08134600,0
2023-02-21 03:00:00,1708.08000000,1708.50000000,1699.33000000,1707.42000000,11036.02600000,1676951999999,18802809.71649000,15447,5232.64160000,8918409.81536000,0
2023-02-20 13:00:00,1706.99000000,1711.58000000,1703.31000000,1705.82000000,13563.10700000,1676901599999,23155542.31271400,28455,7414.21790000,12657739.30430400,0
2023-02-20 14:00:00,1705.83000000,1715.17000000,1696.97000000,1711.98000000,30067.37230000,1676905199999,51325200.59065400,50380,16433.40930000,28053735.80503100,0
2023-02-20 15:00:00,1711.99000000,1715.71000000,1704.36000000,1707.23000000,17630.98720000,1676908799999,30139798.52315800,32798,9063.66920000,15494535.28286200,0
2023-02-20 16:00:00,1707.24000000,1708.17000000,1684.32000000,1700.60000000,31490.45090000,1676912399999,53433204.42809500,52707,14435.99610000,24495546.47970500,0
2023-02-20 17:00:00,1700.61000000,1702.66000000,1694.51000000,1696.37000000,13287.90920000,1676915999999,22568484.36498900,26016,6578.40710000,11172664.87720300,0
2023-02-20 18:00:00,1696.37000000,1699.93000000,1690.62000000,1697.40000000,13690.29870000,1676919599999,23204592.97492700,25003,6813.71970000,11550129.96149000,0
2023-02-20 19:00:00,1697.40000000,1711.22000000,1697.03000000,1709.76000000,19544.65140000,1676923199999,33274071.59567500,30886,12627.48620000,21496426.69157200,0
2023-02-20 20:00:00,1709.77000000,1711.99000000,1701.21000000,1703.77000000,10969.54500000,1676926799999,18716519.18514500,22849,5154.53140000,8794631.66338200,0
2023-02-20 21:00:00,1703.76000000,1707.25000000,1700.58000000,1701.09000000,8231.81180000,1676930399999,14028139.55356300,24308,3207.58660000,5465602.60338300,0
2023-02-20 22:00:00,1701.09000000,1703.48000000,1692.02000000,1692.92000000,10356.53020000,1676933999999,17578649.51144100,21795,4325.96440000,7344508.83587000,0
2023-02-20 23:00:00,1692.93000000,1703.66000000,1691.77000000,1703.27000000,7760.27830000,1676937599999,13182256.93183100,18208,3992.38980000,6782792.68915500,0
2023-02-21 00:00:00,1703.27000000,1711.06000000,1698.06000000,1705.12000000,17585.47280000,1676941199999,30000930.06404600,30001,8773.93090000,14964508.66172200,0
2023-02-21 01:00:00,1705.12000000,1708.62000000,1700.00000000,1705.20000000,12163.30700000,1676944799999,20727953.06510500,21460,5403.01460000,9208969.26817700,0
2023-02-21 02:00:00,1705.20000000,1716.66000000,1704.60000000,1708.08000000,22835.38820000,1676948399999,39072059.21791500,34047,13976.26960000,23912213.08134600,0
2023-02-21 03:00:00,1708.08000000,1708.50000000,1699.33000000,1707.42000000,11036.02600000,1676951999999,18802809.71649000,15447,5232.64160000,8918409.81536000,0
2023-02-20 13:00:00,1706.99000000,1711.58000000,1703.31000000,1705.82000000,13563.10700000,1676901599999,23155542.31271400,28455,7414.21790000,12657739.30430400,0
2023-02-20 14:00:00,1705.83000000,1715.17000000,1696.97000000,1711.98000000,30067.37230000,1676905199999,51325200.59065400,50380,16433.40930000,28053735.80503100,0
2023-02-20 15:00:00,1711.99000000,1715.71000000,1704.36000000,1707.23000000,17630.98720000,1676908799999,30139798.52315800,32798,9063.66920000,15494535.28286200,0
2023-02-20 16:00:00,1707.24000000,1708.17000000,1684.32000000,1700.60000000,31490.45090000,1676912399999,53433204.42809500,52707,14435.99610000,24495546.47970500,0
2023-02-20 17:00:00,1700.61000000,1702.66000000,1694.51000000,1696.37000000,13287.90920000,1676915999999,22568484.36498900,26016,6578.40710000,11172664.87720300,0
2023-02-20 18:00:00,1696.37000000,1699.93000000,1690.62000000,1697.40000000,13690.29870000,1676919599999,23204592.97492700,25003,6813.71970000,11550129.96149000,0
2023-02-20 19:00:00,1697.40000000,1711.22000000,1697.03000000,1709.76000000,19544.65140000,1676923199999,33274071.59567500,30886,12627.48620000,21496426.69157200,0
2023-02-20 20:00:00,1709.77000000,1711.99000000,1701.21000000,1703.77000000,10969.54500000,1676926799999,18716519.18514500,22849,5154.53140000,8794631.66338200,0
2023-02-20 21:00:00,1703.76000000,1707.25000000,1700.58000000,1701.09000000,8231.81180000,1676930399999,14028139.55356300,24308,3207.58660000,5465602.60338300,0
2023-02-20 22:00:00,1701.09000000,1703.48000000,1692.02000000,1692.92000000,10356.53020000,1676933999999,17578649.51144100,21795,4325.96440000,7344508.83587000,0
2023-02-20 23:00:00,1692.93000000,1703.66000000,1691.77000000,1703.27000000,7760.27830000,1676937599999,13182256.93183100,18208,3992.38980000,6782792.68915500,0
2023-02-21 00:00:00,1703.27000000,1711.06000000,1698.06000000,1705.12000000,17585.47280000,1676941199999,30000930.06404600,30001,8773.93090000,14964508.66172200,0
2023-02-21 01:00:00,1705.12000000,1708.62000000,1700.00000000,1705.20000000,12163.30700000,1676944799999,20727953.06510500,21460,5403.01460000,9208969.26817700,0
2023-02-21 02:00:00,1705.20000000,1716.66000000,1704.60000000,1708.08000000,22835.38820000,1676948399999,39072059.21791500,34047,13976.26960000,23912213.08134600,0
2023-02-21 03:00:00,1708.08000000,1708.50000000,1699.33000000,1707.42000000,11036.02600000,1676951999999,18802809.71649000,15447,5232.64160000,8918409.81536000,0
2023-02-20 13:00:00,1706.99000000,1711.58000000,1703.31000000,1705.82000000,13563.10700000,1676901599999,23155542.31271400,28455,7414.21790000,12657739.30430400,0
2023-02-20 14:00:00,1705.83000000,1715.17000000,1696.97000000,1711.98000000,30067.37230000,1676905199999,51325200.59065400,50380,16433.40930000,28053735.80503100,0
